task,model_type,model_name,noise_type,evaluation_scope,subword_inflation_bin,num_samples,num_errors,accuracy,mean_subword_delta,mean_changed_token_ratio,error_rate
topic,baseline,tfidf_word_svm,no_accent,full,<0.95,7,2,0.7142857142857143,-1.1428571428571428,0.6323652537938252,0.2857142857142857
topic,baseline,tfidf_word_svm,no_accent,full,0.95-1.00,242,151,0.3760330578512397,0.0,0.6526136283367688,0.6239669421487604
topic,baseline,tfidf_word_svm,no_accent,full,1.00-1.05,9,5,0.4444444444444444,1.1111111111111112,0.6552206872522154,0.5555555555555556
topic,baseline,tfidf_word_svm,no_accent,full,1.05-1.15,526,338,0.3574144486692015,1.55893536121673,0.7385578248582306,0.6425855513307985
topic,baseline,tfidf_word_svm,no_accent,full,1.15-1.30,1530,1013,0.33790849673202616,3.7777777777777777,0.7645655913424739,0.6620915032679738
topic,baseline,tfidf_word_svm,no_accent,full,>1.30,852,613,0.2805164319248826,5.315727699530516,0.791244819685298,0.7194835680751174
topic,baseline,tfidf_word_svm,teencode_colloquial,changed_only,0.95-1.00,1010,122,0.8792079207920792,0.0,0.09786012852223808,0.12079207920792079
topic,baseline,tfidf_word_svm,teencode_colloquial,changed_only,1.00-1.05,176,23,0.8693181818181818,1.0113636363636365,0.059510085514269735,0.13068181818181823
topic,baseline,tfidf_word_svm,teencode_colloquial,changed_only,1.05-1.15,308,63,0.7954545454545454,1.0584415584415585,0.10901657561705641,0.20454545454545459
topic,baseline,tfidf_word_svm,teencode_colloquial,changed_only,1.15-1.30,42,10,0.7619047619047619,1.2142857142857142,0.20453395810538666,0.23809523809523814
topic,baseline,tfidf_word_svm,teencode_colloquial,changed_only,>1.30,5,2,0.6,1.4,0.3333333333333333,0.4
topic,baseline,tfidf_word_svm,teencode_colloquial,full,0.95-1.00,2635,345,0.8690702087286527,0.0,0.037509954386133,0.1309297912713473
topic,baseline,tfidf_word_svm,teencode_colloquial,full,1.00-1.05,176,23,0.8693181818181818,1.0113636363636365,0.059510085514269735,0.13068181818181823
topic,baseline,tfidf_word_svm,teencode_colloquial,full,1.05-1.15,308,63,0.7954545454545454,1.0584415584415585,0.10901657561705641,0.20454545454545459
topic,baseline,tfidf_word_svm,teencode_colloquial,full,1.15-1.30,42,10,0.7619047619047619,1.2142857142857142,0.20453395810538666,0.23809523809523814
topic,baseline,tfidf_word_svm,teencode_colloquial,full,>1.30,5,2,0.6,1.4,0.3333333333333333,0.4
topic,baseline,tfidf_word_svm,typo,changed_only,<0.95,4,0,1.0,-1.25,0.1352272727272727,0.0
topic,baseline,tfidf_word_svm,typo,changed_only,0.95-1.00,1414,245,0.8267326732673267,-0.0014144271570014145,0.09829612323208958,0.1732673267326733
topic,baseline,tfidf_word_svm,typo,changed_only,1.00-1.05,343,46,0.8658892128279884,1.0029154518950438,0.03718463211327296,0.13411078717201164
topic,baseline,tfidf_word_svm,typo,changed_only,1.05-1.15,1072,174,0.8376865671641791,1.017723880597015,0.09471983914765347,0.1623134328358209
topic,baseline,tfidf_word_svm,typo,changed_only,1.15-1.30,214,43,0.7990654205607477,1.0700934579439252,0.1864375759235572,0.2009345794392523
topic,baseline,tfidf_word_svm,typo,changed_only,>1.30,27,11,0.5925925925925926,1.1481481481481481,0.32962962962962966,0.40740740740740744
topic,baseline,tfidf_word_svm,typo,full,<0.95,4,0,1.0,-1.25,0.1352272727272727,0.0
topic,baseline,tfidf_word_svm,typo,full,0.95-1.00,1506,267,0.8227091633466136,-0.0013280212483399733,0.09229131357913324,0.1772908366533864
topic,baseline,tfidf_word_svm,typo,full,1.00-1.05,343,46,0.8658892128279884,1.0029154518950438,0.03718463211327296,0.13411078717201164
topic,baseline,tfidf_word_svm,typo,full,1.05-1.15,1072,174,0.8376865671641791,1.017723880597015,0.09471983914765347,0.1623134328358209
topic,baseline,tfidf_word_svm,typo,full,1.15-1.30,214,43,0.7990654205607477,1.0700934579439252,0.1864375759235572,0.2009345794392523
topic,baseline,tfidf_word_svm,typo,full,>1.30,27,11,0.5925925925925926,1.1481481481481481,0.32962962962962966,0.40740740740740744
topic,phobert,phobert_base,domain_abbreviation,changed_only,<0.95,159,31,0.8050314465408805,-1.10062893081761,0.24537329090978907,0.19496855345911945
topic,phobert,phobert_base,domain_abbreviation,changed_only,0.95-1.00,1371,257,0.812545587162655,-0.06856309263311451,0.17990070966663912,0.18745441283734499
topic,phobert,phobert_base,domain_abbreviation,full,<0.95,159,31,0.8050314465408805,-1.10062893081761,0.24537329090978907,0.19496855345911945
topic,phobert,phobert_base,domain_abbreviation,full,0.95-1.00,3007,439,0.8540073162620552,-0.03126039241769205,0.08202323676520194,0.14599268373794483
topic,phobert,phobert_base,elongation,changed_only,0.95-1.00,3,1,0.6666666666666666,0.0,0.0681964573268921,0.33333333333333337
topic,phobert,phobert_base,elongation,changed_only,1.00-1.05,173,20,0.884393063583815,1.4971098265895955,0.030249054721375367,0.11560693641618502
topic,phobert,phobert_base,elongation,changed_only,1.05-1.15,1164,128,0.8900343642611683,1.8565292096219932,0.062047424151203706,0.10996563573883167
topic,phobert,phobert_base,elongation,changed_only,1.15-1.30,1150,120,0.8956521739130435,2.210434782608696,0.10616817465225728,0.10434782608695647
topic,phobert,phobert_base,elongation,changed_only,>1.30,674,91,0.8649851632047477,2.6409495548961424,0.18211397076382235,0.13501483679525228
topic,phobert,phobert_base,elongation,full,0.95-1.00,5,1,0.8,0.0,0.04091787439613526,0.19999999999999996
topic,phobert,phobert_base,elongation,full,1.00-1.05,173,20,0.884393063583815,1.4971098265895955,0.030249054721375367,0.11560693641618502
topic,phobert,phobert_base,elongation,full,1.05-1.15,1164,128,0.8900343642611683,1.8565292096219932,0.062047424151203706,0.10996563573883167
topic,phobert,phobert_base,elongation,full,1.15-1.30,1150,120,0.8956521739130435,2.210434782608696,0.10616817465225728,0.10434782608695647
topic,phobert,phobert_base,elongation,full,>1.30,674,91,0.8649851632047477,2.6409495548961424,0.18211397076382235,0.13501483679525228
topic,phobert,phobert_base,mixed_noise,changed_only,<0.95,27,13,0.5185185185185185,-1.0,0.30673043050924026,0.4814814814814815
topic,phobert,phobert_base,mixed_noise,changed_only,0.95-1.00,717,125,0.8256624825662483,-0.016736401673640166,0.21000431560675348,0.1743375174337517
topic,phobert,phobert_base,mixed_noise,changed_only,1.00-1.05,245,46,0.8122448979591836,1.1183673469387756,0.1092325191071299,0.18775510204081636
topic,phobert,phobert_base,mixed_noise,changed_only,1.05-1.15,1073,166,0.8452935694315005,1.505125815470643,0.18824386563483422,0.15470643056849953
topic,phobert,phobert_base,mixed_noise,changed_only,1.15-1.30,705,114,0.8382978723404255,2.1333333333333333,0.23396417370093703,0.16170212765957448
topic,phobert,phobert_base,mixed_noise,changed_only,>1.30,368,85,0.7690217391304348,2.6847826086956523,0.29544514965710617,0.2309782608695652
topic,phobert,phobert_base,mixed_noise,full,<0.95,27,13,0.5185185185185185,-1.0,0.30673043050924026,0.4814814814814815
topic,phobert,phobert_base,mixed_noise,full,0.95-1.00,748,132,0.8235294117647058,-0.016042780748663103,0.20130092819524362,0.17647058823529416
topic,phobert,phobert_base,mixed_noise,full,1.00-1.05,245,46,0.8122448979591836,1.1183673469387756,0.1092325191071299,0.18775510204081636
topic,phobert,phobert_base,mixed_noise,full,1.05-1.15,1073,166,0.8452935694315005,1.505125815470643,0.18824386563483422,0.15470643056849953
topic,phobert,phobert_base,mixed_noise,full,1.15-1.30,705,114,0.8382978723404255,2.1333333333333333,0.23396417370093703,0.16170212765957448
topic,phobert,phobert_base,mixed_noise,full,>1.30,368,85,0.7690217391304348,2.6847826086956523,0.29544514965710617,0.2309782608695652
topic,phobert,phobert_base,no_accent,changed_only,<0.95,7,4,0.42857142857142855,-1.1428571428571428,0.6323652537938252,0.5714285714285714
topic,phobert,phobert_base,no_accent,changed_only,0.95-1.00,238,127,0.46638655462184875,0.0,0.6635819246113364,0.5336134453781513
topic,phobert,phobert_base,no_accent,changed_only,1.00-1.05,9,6,0.3333333333333333,1.1111111111111112,0.6552206872522154,0.6666666666666667
topic,phobert,phobert_base,no_accent,changed_only,1.05-1.15,526,285,0.45817490494296575,1.55893536121673,0.7385578248582306,0.5418250950570342
topic,phobert,phobert_base,no_accent,changed_only,1.15-1.30,1530,787,0.48562091503267973,3.7777777777777777,0.7645655913424739,0.5143790849673202
topic,phobert,phobert_base,no_accent,changed_only,>1.30,852,462,0.45774647887323944,5.315727699530516,0.791244819685298,0.5422535211267605
topic,phobert,phobert_base,no_accent,full,<0.95,7,4,0.42857142857142855,-1.1428571428571428,0.6323652537938252,0.5714285714285714
topic,phobert,phobert_base,no_accent,full,0.95-1.00,242,128,0.47107438016528924,0.0,0.6526136283367688,0.5289256198347108
topic,phobert,phobert_base,no_accent,full,1.00-1.05,9,6,0.3333333333333333,1.1111111111111112,0.6552206872522154,0.6666666666666667
topic,phobert,phobert_base,no_accent,full,1.05-1.15,526,285,0.45817490494296575,1.55893536121673,0.7385578248582306,0.5418250950570342
topic,phobert,phobert_base,no_accent,full,1.15-1.30,1530,787,0.48562091503267973,3.7777777777777777,0.7645655913424739,0.5143790849673202
topic,phobert,phobert_base,no_accent,full,>1.30,852,462,0.45774647887323944,5.315727699530516,0.791244819685298,0.5422535211267605
topic,phobert,phobert_base,teencode_colloquial,changed_only,0.95-1.00,1010,90,0.9108910891089109,0.0,0.09786012852223808,0.08910891089108908
topic,phobert,phobert_base,teencode_colloquial,changed_only,1.00-1.05,176,16,0.9090909090909091,1.0113636363636365,0.059510085514269735,0.09090909090909094
topic,phobert,phobert_base,teencode_colloquial,changed_only,1.05-1.15,308,47,0.8474025974025974,1.0584415584415585,0.10901657561705641,0.15259740259740262
topic,phobert,phobert_base,teencode_colloquial,changed_only,1.15-1.30,42,5,0.8809523809523809,1.2142857142857142,0.20453395810538666,0.11904761904761907
topic,phobert,phobert_base,teencode_colloquial,changed_only,>1.30,5,1,0.8,1.4,0.3333333333333333,0.19999999999999996
topic,phobert,phobert_base,teencode_colloquial,full,0.95-1.00,2635,259,0.901707779886148,0.0,0.037509954386133,0.09829222011385197
topic,phobert,phobert_base,teencode_colloquial,full,1.00-1.05,176,16,0.9090909090909091,1.0113636363636365,0.059510085514269735,0.09090909090909094
topic,phobert,phobert_base,teencode_colloquial,full,1.05-1.15,308,47,0.8474025974025974,1.0584415584415585,0.10901657561705641,0.15259740259740262
topic,phobert,phobert_base,teencode_colloquial,full,1.15-1.30,42,5,0.8809523809523809,1.2142857142857142,0.20453395810538666,0.11904761904761907
topic,phobert,phobert_base,teencode_colloquial,full,>1.30,5,1,0.8,1.4,0.3333333333333333,0.19999999999999996
topic,phobert,phobert_base,typo,changed_only,<0.95,4,0,1.0,-1.25,0.1352272727272727,0.0
topic,phobert,phobert_base,typo,changed_only,0.95-1.00,1414,189,0.8663366336633663,-0.0014144271570014145,0.09829612323208958,0.13366336633663367
topic,phobert,phobert_base,typo,changed_only,1.00-1.05,343,34,0.9008746355685131,1.0029154518950438,0.03718463211327296,0.0991253644314869
topic,phobert,phobert_base,typo,changed_only,1.05-1.15,1072,132,0.8768656716417911,1.017723880597015,0.09471983914765347,0.12313432835820892
topic,phobert,phobert_base,typo,changed_only,1.15-1.30,214,36,0.8317757009345794,1.0700934579439252,0.1864375759235572,0.16822429906542058
topic,phobert,phobert_base,typo,changed_only,>1.30,27,8,0.7037037037037037,1.1481481481481481,0.32962962962962966,0.2962962962962963
topic,phobert,phobert_base,typo,full,<0.95,4,0,1.0,-1.25,0.1352272727272727,0.0
topic,phobert,phobert_base,typo,full,0.95-1.00,1506,206,0.8632138114209827,-0.0013280212483399733,0.09229131357913324,0.13678618857901725
topic,phobert,phobert_base,typo,full,1.00-1.05,343,34,0.9008746355685131,1.0029154518950438,0.03718463211327296,0.0991253644314869
topic,phobert,phobert_base,typo,full,1.05-1.15,1072,132,0.8768656716417911,1.017723880597015,0.09471983914765347,0.12313432835820892
topic,phobert,phobert_base,typo,full,1.15-1.30,214,36,0.8317757009345794,1.0700934579439252,0.1864375759235572,0.16822429906542058
topic,phobert,phobert_base,typo,full,>1.30,27,8,0.7037037037037037,1.1481481481481481,0.32962962962962966,0.2962962962962963
